iter	Accuracy	Logloss
624	0.8525280899	0.3537576051
625	0.8525280899	0.3534738953
626	0.8525280899	0.3534621364
627	0.8525280899	0.3531911258
628	0.8539325843	0.3530368849
629	0.8539325843	0.3528588067
630	0.8539325843	0.352835367
631	0.8539325843	0.3526064843
632	0.8539325843	0.3525443051
633	0.8539325843	0.3525177388
634	0.8539325843	0.3522909254
635	0.8539325843	0.3522411968
636	0.8539325843	0.3520806026
637	0.8539325843	0.3520418627
638	0.8553370787	0.351730947
639	0.8553370787	0.3515543869
640	0.8553370787	0.3513634929
641	0.8553370787	0.3510939877
642	0.8553370787	0.3509192449
643	0.8553370787	0.3508685226
644	0.856741573	0.3507412665
645	0.856741573	0.3506603184
646	0.856741573	0.3505104146
647	0.856741573	0.3504452729
648	0.856741573	0.3502415272
649	0.856741573	0.3502218675
650	0.856741573	0.3500063686
651	0.856741573	0.3499728918
652	0.856741573	0.3498937669
653	0.856741573	0.3497116759
654	0.856741573	0.3495621005
655	0.856741573	0.3495251169
656	0.856741573	0.3495125419
657	0.856741573	0.3493030191
658	0.856741573	0.3492873744
659	0.856741573	0.3491677525
660	0.856741573	0.3491310718
661	0.856741573	0.3489338367
662	0.856741573	0.3488338744
663	0.856741573	0.3485813476
664	0.856741573	0.3483633944
665	0.856741573	0.3482426221
666	0.8581460674	0.348199275
667	0.8581460674	0.3481954578
668	0.8581460674	0.3481080583
669	0.8581460674	0.3479750103
670	0.8581460674	0.347814698
671	0.8581460674	0.3476717038
672	0.8581460674	0.3476672252
673	0.856741573	0.3475362714
674	0.856741573	0.3472117716
675	0.8581460674	0.3471768832
676	0.856741573	0.3470342953
677	0.8581460674	0.3468395951
678	0.8581460674	0.3467150077
679	0.8581460674	0.3466027476
680	0.856741573	0.3465921787
681	0.8581460674	0.3463977886
682	0.8581460674	0.3460428912
683	0.8581460674	0.345754875
684	0.8581460674	0.3457222133
685	0.8581460674	0.3453435449
686	0.8581460674	0.3453421837
687	0.8581460674	0.3452384662
688	0.8581460674	0.3451616081
689	0.8581460674	0.3450323067
690	0.856741573	0.3448335732
691	0.856741573	0.344830364
692	0.856741573	0.3447010384
693	0.856741573	0.3446835427
694	0.856741573	0.3446215263
695	0.856741573	0.3444659644
696	0.856741573	0.3443547478
697	0.856741573	0.3441965751
698	0.856741573	0.3439785884
699	0.8581460674	0.3436945845
700	0.8581460674	0.3433342571
701	0.8581460674	0.3431439096
702	0.8581460674	0.3429413372
703	0.8581460674	0.3429204743
704	0.8581460674	0.3428747694
705	0.8595505618	0.3426925298
706	0.8595505618	0.342376497
707	0.8595505618	0.3422601396
708	0.8595505618	0.3421806783
709	0.8595505618	0.3421333943
710	0.8581460674	0.3420574223
711	0.8581460674	0.3420421234
712	0.8595505618	0.3419921954
713	0.8595505618	0.3419604389
714	0.8595505618	0.3417245091
715	0.8595505618	0.3414715605
716	0.8595505618	0.3413842733
717	0.8595505618	0.3410791431
718	0.8595505618	0.3409179778
719	0.8595505618	0.3407139326
720	0.8595505618	0.3406973876
721	0.8595505618	0.3405807343
722	0.8595505618	0.3403511249
723	0.8595505618	0.3403047584
724	0.8595505618	0.3400657365
725	0.8595505618	0.3400176526
726	0.8595505618	0.3395544334
727	0.8595505618	0.3394314938
728	0.8595505618	0.3392109514
729	0.8595505618	0.3388799007
730	0.8609550562	0.3387005222
731	0.8595505618	0.3385573311
732	0.8595505618	0.3385223482
733	0.8595505618	0.3384495172
734	0.8595505618	0.3383909631
735	0.8595505618	0.3381194828
736	0.8595505618	0.3379799312
737	0.8595505618	0.3378166963
738	0.8595505618	0.3375307852
739	0.8595505618	0.3373269462
740	0.8595505618	0.337317881
741	0.8595505618	0.3371864316
742	0.8595505618	0.3370689309
743	0.8595505618	0.33704608
744	0.8609550562	0.3369363767
745	0.8609550562	0.3368548608
746	0.8609550562	0.3366899892
747	0.8609550562	0.3366417849
748	0.8595505618	0.3364449618
749	0.8595505618	0.3363367831
750	0.8595505618	0.3361818853
751	0.8595505618	0.3361155002
752	0.8595505618	0.336028598
753	0.8595505618	0.3358065459
754	0.8595505618	0.3356603638
755	0.8595505618	0.3355436659
756	0.8595505618	0.335514695
757	0.8595505618	0.3354071796
758	0.8609550562	0.3351620053
759	0.8609550562	0.3350475242
760	0.8609550562	0.3349915016
761	0.8609550562	0.3347466409
762	0.8609550562	0.3346127911
763	0.8609550562	0.3344501187
764	0.8609550562	0.3344137036
765	0.8609550562	0.3344012641
766	0.8609550562	0.3343345509
767	0.8609550562	0.334259686
768	0.8623595506	0.3339523866
769	0.8623595506	0.3339054941
770	0.8623595506	0.3338618852
771	0.8623595506	0.3337617426
772	0.8623595506	0.3335032962
773	0.8623595506	0.3333322395
774	0.8623595506	0.3332054679
775	0.8623595506	0.3329658241
776	0.8623595506	0.3328029383
777	0.8623595506	0.3325418521
778	0.8623595506	0.3323057858
779	0.8623595506	0.3322935292
780	0.8623595506	0.3320373859
781	0.8623595506	0.3319854388
782	0.8623595506	0.3318985132
783	0.8623595506	0.3318687273
784	0.8623595506	0.3318182477
785	0.8623595506	0.3317479238
786	0.8623595506	0.3316913479
787	0.8623595506	0.3316290156
788	0.8623595506	0.3314202592
789	0.8623595506	0.3309032273
790	0.8623595506	0.3308488127
791	0.8623595506	0.3307980002
792	0.8623595506	0.3307372529
793	0.8623595506	0.3306417357
794	0.8609550562	0.3305303809
795	0.8609550562	0.3304510856
796	0.8609550562	0.330304651
797	0.8609550562	0.3302453197
798	0.8609550562	0.3301736127
799	0.8609550562	0.3301013352
800	0.8609550562	0.3299607531
801	0.8623595506	0.3296273962
802	0.8623595506	0.3295243431
803	0.8623595506	0.3292917631
804	0.8623595506	0.3292558681
805	0.8637640449	0.3289660382
806	0.8623595506	0.3288086305
807	0.8637640449	0.3286015902
808	0.8637640449	0.328522666
809	0.8651685393	0.3283259166
810	0.8651685393	0.3281623285
811	0.8651685393	0.3279993142
812	0.8651685393	0.3279296147
813	0.8651685393	0.3277958392
814	0.8651685393	0.3277668382
815	0.8651685393	0.3276567049
816	0.8651685393	0.327593725
817	0.8665730337	0.3273179968
818	0.8665730337	0.3272209459
819	0.8665730337	0.3271364897
820	0.8665730337	0.3269359357
821	0.8665730337	0.3268554915
822	0.8665730337	0.3268193603
823	0.8665730337	0.326729799
824	0.8665730337	0.3266568797
825	0.8679775281	0.326520014
826	0.8665730337	0.3264592244
827	0.8665730337	0.3263779937
828	0.8665730337	0.3261827675
829	0.8665730337	0.3261595996
830	0.8665730337	0.3260803656
831	0.8651685393	0.3259189052
832	0.8651685393	0.3258234708
833	0.8651685393	0.3256287936
834	0.8651685393	0.3254910862
835	0.8651685393	0.3254440435
836	0.8665730337	0.3252995368
837	0.8665730337	0.3249209596
838	0.8665730337	0.3248700517
839	0.8665730337	0.3247629665
840	0.8679775281	0.324553923
841	0.8679775281	0.3244023453
842	0.8679775281	0.3242673138
843	0.8679775281	0.3241261977
